job_description,resume,affinity_score
"Puesto: Analista de Datos. Ubicación: Remoto. Experiencia requerida: 3-5 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: TensorFlow, Django, Machine Learning, AWS. Skills blandas: Comunicación efectiva, Creatividad, Resolución de problemas, Pensamiento crítico. Idiomas: Portugués.","Experiencia: 1-3 años. Educación: Doctorado. Skills: Django, TensorFlow, Comunicación efectiva, Pensamiento crítico, Deep Learning, SQL, Docker, JavaScript, Machine Learning, Agile, Keras. Idiomas: Portugués, Inglés intermedio, Inglés nativo.",7.45
"Puesto: DevOps Engineer. Ubicación: Medellín. Experiencia requerida: 8+ años. Educación: Profesional en Administración. Skills técnicas requeridas: MongoDB, Deep Learning, C++. Skills blandas: Comunicación efectiva, Resolución de problemas, Trabajo en equipo, Adaptabilidad. Idiomas: Inglés nativo.","Experiencia: 0-1 años. Educación: Técnico. Skills: Trabajo en equipo, Marketing digital, Content creation, Scrum, Gestión de proyectos, Liderazgo, SAP. Idiomas: Inglés avanzado, Inglés intermedio, Español nativo.",0.58
"Puesto: Especialista en Marketing Digital. Ubicación: Remoto. Experiencia requerida: 1-3 años. Educación: Doctorado. Skills técnicas requeridas: Kubernetes, MongoDB, Docker, Python, C++. Skills blandas: Trabajo en equipo, Creatividad. Idiomas: Inglés nativo.","Experiencia: 0-1 años. Educación: Profesional en Ingeniería. Skills: MongoDB, UX/UI, Adobe Photoshop, Video editing, Excel avanzado, Liderazgo, SAP, Branding. Idiomas: Español nativo, Inglés intermedio, Inglés nativo.",5.22
"Puesto: Analista Financiero. Ubicación: Híbrido. Experiencia requerida: 3-5 años. Educación: Maestría. Skills técnicas requeridas: React, Azure, Docker, Python. Skills blandas: Comunicación efectiva, Creatividad. Idiomas: Inglés avanzado.","Experiencia: 3-5 años. Educación: Profesional en Administración. Skills: Creatividad, React, Liderazgo, Java, APIs REST, Machine Learning, Django, Git. Idiomas: Inglés básico.",4.4
"Puesto: Gerente de Proyectos. Ubicación: Barranquilla. Experiencia requerida: 3-5 años. Educación: Profesional en Administración. Skills técnicas requeridas: Machine Learning, Keras, APIs REST, AWS, TensorFlow. Skills blandas: Trabajo en equipo, Gestión del tiempo. Idiomas: Inglés nativo.","Experiencia: 3-5 años. Educación: Profesional en Administración. Skills: TensorFlow, AWS, APIs REST, Gestión del tiempo, Resolución de problemas, Azure, C++, Kubernetes, Comunicación efectiva. Idiomas: Portugués.",6.59
"Puesto: DevOps Engineer. Ubicación: Híbrido. Experiencia requerida: 8+ años. Educación: Profesional en Diseño. Skills técnicas requeridas: Docker, JavaScript, TensorFlow, MongoDB. Skills blandas: Creatividad, Trabajo en equipo, Resolución de problemas. Idiomas: Portugués.","Experiencia: 1-3 años. Educación: Profesional en Administración. Skills: Trabajo en equipo, TensorFlow, Creatividad, Node.js, Kubernetes, PowerBI, Docker. Idiomas: Inglés nativo, Español nativo.",3.2
"Puesto: Analista Financiero. Ubicación: Híbrido. Experiencia requerida: 3-5 años. Educación: Doctorado. Skills técnicas requeridas: TensorFlow, Kubernetes, PostgreSQL, MongoDB, Node.js, Machine Learning, Django. Skills blandas: Gestión del tiempo, Creatividad, Comunicación efectiva, Trabajo en equipo. Idiomas: Francés.","Experiencia: 8+ años. Educación: Doctorado. Skills: MongoDB, Node.js, Trabajo en equipo, Creatividad, Kubernetes, TensorFlow, Machine Learning, Django, JavaScript, Comunicación efectiva, Azure, Deep Learning, APIs REST. Idiomas: Inglés básico, Francés.",8.24
"Puesto: Data Scientist. Ubicación: Cali. Experiencia requerida: 5-8 años. Educación: Profesional en Administración. Skills técnicas requeridas: React, APIs REST, Kubernetes, Java, Django, MongoDB. Skills blandas: Gestión del tiempo, Trabajo en equipo. Idiomas: Francés.","Experiencia: 3-5 años. Educación: Profesional en Administración. Skills: MongoDB, Gestión del tiempo, Java, Django, Trabajo en equipo, Kubernetes, APIs REST, Comunicación efectiva, Azure, TensorFlow. Idiomas: Inglés avanzado, Portugués, Inglés básico.",6.32
"Puesto: Analista de Datos. Ubicación: Híbrido. Experiencia requerida: 5-8 años. Educación: Profesional en Administración. Skills técnicas requeridas: TensorFlow, Azure, MongoDB, JavaScript. Skills blandas: Comunicación efectiva, Gestión del tiempo, Creatividad. Idiomas: Inglés avanzado.","Experiencia: 8+ años. Educación: Bachiller. Skills: JavaScript, MongoDB, Comunicación efectiva, Creatividad, Java, Django, Kubernetes, Docker, Trabajo en equipo. Idiomas: Inglés avanzado, Francés, Español nativo.",8.11
"Puesto: Desarrollador Backend. Ubicación: Cali. Experiencia requerida: 5-8 años. Educación: Profesional en Administración. Skills técnicas requeridas: MongoDB, Django, Git, PostgreSQL, Machine Learning, Node.js. Skills blandas: Pensamiento crítico, Trabajo en equipo, Gestión del tiempo, Resolución de problemas. Idiomas: Inglés avanzado.","Experiencia: 5-8 años. Educación: Profesional en Diseño. Skills: Gestión del tiempo, MongoDB, Pensamiento crítico, Machine Learning, Trabajo en equipo, Resolución de problemas, Node.js, Git, SQL, PostgreSQL, React, Java, Creatividad. Idiomas: Inglés avanzado.",7.58
"Puesto: Desarrollador Backend. Ubicación: Bogotá. Experiencia requerida: 0-1 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: Machine Learning, JavaScript, Git, Python, Java. Skills blandas: Resolución de problemas, Comunicación efectiva, Trabajo en equipo. Idiomas: Inglés avanzado.","Experiencia: 1-3 años. Educación: Tecnólogo. Skills: Git, JavaScript, Gestión de proyectos, Figma, Marketing digital, SAP, Content creation. Idiomas: Inglés nativo, Portugués, Español nativo.",6.33
"Puesto: Analista de Datos. Ubicación: Remoto. Experiencia requerida: 8+ años. Educación: Profesional en Administración. Skills técnicas requeridas: Python, Deep Learning, AWS. Skills blandas: Pensamiento crítico, Creatividad, Comunicación efectiva, Trabajo en equipo. Idiomas: Inglés nativo.","Experiencia: 8+ años. Educación: Doctorado. Skills: Creatividad, Python, Trabajo en equipo, Comunicación efectiva, Deep Learning, AWS, C++, Azure, Docker, Java. Idiomas: Inglés avanzado.",9.31
"Puesto: Desarrollador Frontend. Ubicación: Bogotá. Experiencia requerida: 3-5 años. Educación: Profesional en Diseño. Skills técnicas requeridas: React, APIs REST, Machine Learning, Git. Skills blandas: Pensamiento crítico, Gestión del tiempo, Adaptabilidad. Idiomas: Inglés intermedio.","Experiencia: 1-3 años. Educación: Profesional en Diseño. Skills: Git, SAP, Liderazgo, PowerBI, Análisis financiero, Diseño gráfico. Idiomas: Inglés avanzado.",3.21
"Puesto: Gerente de Proyectos. Ubicación: Híbrido. Experiencia requerida: 8+ años. Educación: Profesional en Administración. Skills técnicas requeridas: Machine Learning, MongoDB, Python, APIs REST, Node.js. Skills blandas: Trabajo en equipo, Comunicación efectiva, Pensamiento crítico, Adaptabilidad. Idiomas: Portugués.","Experiencia: 3-5 años. Educación: Profesional en Ingeniería. Skills: Pensamiento crítico, Adaptabilidad, Illustrator, Video editing, SEO, PowerBI. Idiomas: Portugués, Inglés nativo.",3.0
"Puesto: Gerente de Proyectos. Ubicación: Híbrido. Experiencia requerida: 3-5 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: MongoDB, TensorFlow, Keras, Kubernetes, Machine Learning, SQL. Skills blandas: Resolución de problemas, Comunicación efectiva, Trabajo en equipo, Creatividad. Idiomas: Francés.","Experiencia: 3-5 años. Educación: Técnico. Skills: Keras, Kubernetes, Trabajo en equipo, SQL, Comunicación efectiva, Scrum, Excel avanzado, Agile, Azure, PowerBI. Idiomas: Inglés intermedio.",5.68
"Puesto: Desarrollador Full Stack. Ubicación: Barranquilla. Experiencia requerida: 0-1 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: Machine Learning, Java, PostgreSQL, Deep Learning, SQL, TensorFlow, Docker. Skills blandas: Gestión del tiempo, Pensamiento crítico. Idiomas: Inglés nativo.","Experiencia: 0-1 años. Educación: Bachiller. Skills: Gestión del tiempo, TensorFlow, Java, Machine Learning, PostgreSQL, Deep Learning, Pensamiento crítico, APIs REST, Trabajo en equipo. Idiomas: Inglés básico.",8.54
"Puesto: Data Scientist. Ubicación: Barranquilla. Experiencia requerida: 5-8 años. Educación: Profesional en Diseño. Skills técnicas requeridas: MongoDB, Docker, Django, APIs REST. Skills blandas: Pensamiento crítico, Gestión del tiempo. Idiomas: Portugués.","Experiencia: 1-3 años. Educación: Profesional en Administración. Skills: Marketing digital, Video editing, C++, Creatividad, Node.js, Docker. Idiomas: Español nativo, Inglés básico, Portugués.",2.19
"Puesto: Desarrollador Full Stack. Ubicación: Medellín. Experiencia requerida: 0-1 años. Educación: Profesional en Administración. Skills técnicas requeridas: Azure, Git, Deep Learning, Java, Django, SQL. Skills blandas: Creatividad, Resolución de problemas, Pensamiento crítico. Idiomas: Francés.","Experiencia: 3-5 años. Educación: Profesional en Administración. Skills: Java, Creatividad, Azure, Django, Git, SQL, Pensamiento crítico, C++, JavaScript, Machine Learning. Idiomas: Español nativo, Inglés avanzado.",8.18
"Puesto: Analista de Datos. Ubicación: Barranquilla. Experiencia requerida: 1-3 años. Educación: Doctorado. Skills técnicas requeridas: Git, Kubernetes, JavaScript, Java, Docker, Keras, React. Skills blandas: Adaptabilidad, Resolución de problemas, Trabajo en equipo, Gestión del tiempo. Idiomas: Inglés intermedio.","Experiencia: 3-5 años. Educación: Maestría. Skills: Gestión del tiempo, Docker, Git, Gestión de proyectos, Scrum, SAP, Content creation, Branding. Idiomas: Francés, Inglés avanzado, Español nativo.",5.5
"Puesto: Gerente de Proyectos. Ubicación: Remoto. Experiencia requerida: 5-8 años. Educación: Doctorado. Skills técnicas requeridas: TensorFlow, Docker, Git. Skills blandas: Resolución de problemas, Creatividad. Idiomas: Portugués.","Experiencia: 8+ años. Educación: Bachiller. Skills: Git, Creatividad, Gestión de proyectos, AWS, Liderazgo. Idiomas: Francés, Inglés nativo, Inglés avanzado.",5.84
"Puesto: Gerente de Proyectos. Ubicación: Híbrido. Experiencia requerida: 0-1 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: Kubernetes, Java, Node.js, Machine Learning, SQL, Azure, Git. Skills blandas: Pensamiento crítico, Creatividad, Gestión del tiempo. Idiomas: Francés.","Experiencia: 3-5 años. Educación: Maestría. Skills: Node.js, SQL, Kubernetes, Creatividad, Machine Learning, Pensamiento crítico, Java, Git, React, Django, Comunicación efectiva, Docker, AWS. Idiomas: Inglés avanzado, Inglés básico.",7.57
"Puesto: Diseñador UX/UI. Ubicación: Barranquilla. Experiencia requerida: 3-5 años. Educación: Doctorado. Skills técnicas requeridas: SQL, JavaScript, Machine Learning, Docker, TensorFlow, Kubernetes, AWS. Skills blandas: Adaptabilidad, Resolución de problemas, Trabajo en equipo, Creatividad. Idiomas: Portugués.","Experiencia: 8+ años. Educación: Bachiller. Skills: Adaptabilidad, Resolución de problemas, Creatividad, Kubernetes, Machine Learning, TensorFlow, Trabajo en equipo, Docker, JavaScript, Django, Deep Learning, MongoDB, SQL. Idiomas: Portugués, Inglés avanzado.",8.75
"Puesto: Desarrollador Backend. Ubicación: Cali. Experiencia requerida: 0-1 años. Educación: Doctorado. Skills técnicas requeridas: Java, SQL, APIs REST, TensorFlow. Skills blandas: Gestión del tiempo, Trabajo en equipo, Pensamiento crítico. Idiomas: Inglés intermedio.","Experiencia: 3-5 años. Educación: Técnico. Skills: TensorFlow, Illustrator, Gestión de proyectos, Content creation, Análisis financiero, PowerBI. Idiomas: Francés, Portugués.",6.15
"Puesto: Gerente de Proyectos. Ubicación: Híbrido. Experiencia requerida: 5-8 años. Educación: Profesional en Administración. Skills técnicas requeridas: Java, JavaScript, Django, Deep Learning, MongoDB, Keras. Skills blandas: Trabajo en equipo, Pensamiento crítico, Gestión del tiempo, Adaptabilidad. Idiomas: Inglés nativo.","Experiencia: 1-3 años. Educación: Tecnólogo. Skills: Java, Keras, Adaptabilidad, Django, Trabajo en equipo, APIs REST, React, Deep Learning, Azure, Excel avanzado. Idiomas: Español nativo.",5.23
"Puesto: Especialista en Marketing Digital. Ubicación: Cali. Experiencia requerida: 3-5 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: PostgreSQL, SQL, Django, Kubernetes. Skills blandas: Creatividad, Resolución de problemas, Pensamiento crítico. Idiomas: Inglés nativo.","Experiencia: 3-5 años. Educación: Doctorado. Skills: SQL, PostgreSQL, Kubernetes, Excel avanzado, TensorFlow, Tableau, Git, Gestión de proyectos. Idiomas: Inglés básico, Inglés avanzado.",7.27
"Puesto: Desarrollador Backend. Ubicación: Medellín. Experiencia requerida: 8+ años. Educación: Maestría. Skills técnicas requeridas: PostgreSQL, Deep Learning, Azure, Python, AWS, SQL, APIs REST. Skills blandas: Adaptabilidad, Creatividad, Trabajo en equipo. Idiomas: Inglés avanzado.","Experiencia: 5-8 años. Educación: Profesional en Diseño. Skills: SQL, Python, Creatividad, AWS, Azure, Deep Learning, PostgreSQL, Trabajo en equipo, Docker, Comunicación efectiva. Idiomas: Inglés básico, Español nativo, Inglés intermedio.",6.18
"Puesto: Diseñador UX/UI. Ubicación: Remoto. Experiencia requerida: 3-5 años. Educación: Profesional en Diseño. Skills técnicas requeridas: Keras, APIs REST, PostgreSQL, Machine Learning. Skills blandas: Gestión del tiempo, Comunicación efectiva, Resolución de problemas, Pensamiento crítico. Idiomas: Portugués.","Experiencia: 5-8 años. Educación: Profesional en Diseño. Skills: PostgreSQL, Resolución de problemas, APIs REST, Machine Learning, AWS, JavaScript, Docker, Python, Deep Learning, Análisis financiero, C++. Idiomas: Portugués, Francés, Inglés intermedio.",6.75
"Puesto: Gerente de Proyectos. Ubicación: Híbrido. Experiencia requerida: 0-1 años. Educación: Maestría. Skills técnicas requeridas: Django, Git, Python. Skills blandas: Adaptabilidad, Gestión del tiempo, Resolución de problemas, Comunicación efectiva. Idiomas: Inglés nativo.","Experiencia: 0-1 años. Educación: Profesional en Ingeniería. Skills: Django, Adobe Photoshop, Negociación, Video editing, Gestión de proyectos, Figma. Idiomas: Inglés básico, Inglés avanzado, Portugués.",4.68
"Puesto: Product Manager. Ubicación: Cali. Experiencia requerida: 1-3 años. Educación: Maestría. Skills técnicas requeridas: PostgreSQL, SQL, Docker, C++, Git, Deep Learning, Node.js. Skills blandas: Resolución de problemas, Trabajo en equipo, Gestión del tiempo. Idiomas: Inglés avanzado.","Experiencia: 1-3 años. Educación: Técnico. Skills: Tableau, Node.js, Pensamiento crítico, Gestión del tiempo, UX/UI, Comunicación efectiva, PowerBI, C++, Gestión de proyectos, MongoDB. Idiomas: Español nativo, Portugués.",4.84
"Puesto: Desarrollador Full Stack. Ubicación: Bogotá. Experiencia requerida: 8+ años. Educación: Profesional en Administración. Skills técnicas requeridas: Django, SQL, Node.js. Skills blandas: Trabajo en equipo, Adaptabilidad, Comunicación efectiva. Idiomas: Inglés nativo.","Experiencia: 0-1 años. Educación: Técnico. Skills: Adaptabilidad, Content creation, UX/UI, Liderazgo, Negociación. Idiomas: Francés, Español nativo, Inglés básico.",0.71
"Puesto: Diseñador UX/UI. Ubicación: Medellín. Experiencia requerida: 5-8 años. Educación: Maestría. Skills técnicas requeridas: Python, React, Machine Learning, Java, SQL, Keras, Node.js. Skills blandas: Adaptabilidad, Trabajo en equipo, Creatividad. Idiomas: Francés.","Experiencia: 3-5 años. Educación: Bachiller. Skills: Adaptabilidad, Trabajo en equipo, Negociación, Adobe Photoshop, Scrum, Video editing, SAP. Idiomas: Inglés avanzado.",5.34
"Puesto: Data Scientist. Ubicación: Barranquilla. Experiencia requerida: 5-8 años. Educación: Doctorado. Skills técnicas requeridas: Kubernetes, JavaScript, PostgreSQL, TensorFlow, SQL, Java. Skills blandas: Comunicación efectiva, Resolución de problemas, Adaptabilidad, Creatividad. Idiomas: Inglés nativo.","Experiencia: 8+ años. Educación: Profesional en Ingeniería. Skills: Creatividad, Comunicación efectiva, JavaScript, Adaptabilidad, Liderazgo, Excel avanzado, Negociación. Idiomas: Inglés avanzado, Inglés básico.",5.84
"Puesto: Desarrollador Backend. Ubicación: Remoto. Experiencia requerida: 0-1 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: C++, TensorFlow, Docker, PostgreSQL, Machine Learning, React. Skills blandas: Comunicación efectiva, Creatividad, Pensamiento crítico, Trabajo en equipo. Idiomas: Portugués.","Experiencia: 1-3 años. Educación: Profesional en Diseño. Skills: React, Agile, Adobe Photoshop, Negociación, Análisis financiero, Figma. Idiomas: Francés, Inglés avanzado, Español nativo.",6.31
"Puesto: Gerente de Proyectos. Ubicación: Medellín. Experiencia requerida: 3-5 años. Educación: Doctorado. Skills técnicas requeridas: APIs REST, Node.js, SQL. Skills blandas: Creatividad, Pensamiento crítico, Comunicación efectiva, Trabajo en equipo. Idiomas: Inglés intermedio.","Experiencia: 0-1 años. Educación: Tecnólogo. Skills: Pensamiento crítico, Tableau, Agile, Liderazgo, Diseño gráfico, Content creation. Idiomas: Portugués, Inglés intermedio.",4.34
"Puesto: Ingeniero de Machine Learning. Ubicación: Cali. Experiencia requerida: 5-8 años. Educación: Maestría. Skills técnicas requeridas: AWS, JavaScript, SQL, Python. Skills blandas: Trabajo en equipo, Creatividad, Adaptabilidad, Comunicación efectiva. Idiomas: Inglés nativo.","Experiencia: 0-1 años. Educación: Profesional en Administración. Skills: Trabajo en equipo, Creatividad, SQL, Análisis financiero, JavaScript, Java, React, Node.js, Negociación, Agile. Idiomas: Portugués, Inglés avanzado.",3.46
"Puesto: Analista de Datos. Ubicación: Remoto. Experiencia requerida: 8+ años. Educación: Profesional en Diseño. Skills técnicas requeridas: C++, Keras, Docker, Azure. Skills blandas: Resolución de problemas, Creatividad, Adaptabilidad, Pensamiento crítico. Idiomas: Inglés avanzado.","Experiencia: 3-5 años. Educación: Técnico. Skills: C++, Pensamiento crítico, Keras, Django, Scrum, React, Deep Learning, TensorFlow. Idiomas: Inglés avanzado.",4.74
"Puesto: Desarrollador Backend. Ubicación: Medellín. Experiencia requerida: 5-8 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: Django, APIs REST, MongoDB, Keras, JavaScript, Node.js, Docker. Skills blandas: Creatividad, Trabajo en equipo, Pensamiento crítico, Gestión del tiempo. Idiomas: Francés.","Experiencia: 5-8 años. Educación: Maestría. Skills: Docker, Gestión del tiempo, JavaScript, APIs REST, Keras, Django, MongoDB, Creatividad, Git, C++, Azure, SQL, Comunicación efectiva. Idiomas: Español nativo, Inglés avanzado, Inglés intermedio.",8.15
"Puesto: Ingeniero de Machine Learning. Ubicación: Bogotá. Experiencia requerida: 1-3 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: C++, APIs REST, PostgreSQL. Skills blandas: Comunicación efectiva, Resolución de problemas, Creatividad, Gestión del tiempo. Idiomas: Inglés nativo.","Experiencia: 3-5 años. Educación: Profesional en Diseño. Skills: Resolución de problemas, APIs REST, C++, Creatividad, PostgreSQL, Git, Comunicación efectiva, Gestión del tiempo, Adaptabilidad, Pensamiento crítico. Idiomas: Inglés avanzado.",7.2
"Puesto: Analista de Datos. Ubicación: Remoto. Experiencia requerida: 3-5 años. Educación: Profesional en Diseño. Skills técnicas requeridas: Java, Keras, APIs REST, JavaScript, Deep Learning. Skills blandas: Pensamiento crítico, Gestión del tiempo, Trabajo en equipo, Adaptabilidad. Idiomas: Inglés intermedio.","Experiencia: 3-5 años. Educación: Doctorado. Skills: Adaptabilidad, Gestión del tiempo, JavaScript, Deep Learning, Agile, Gestión de proyectos, Java, APIs REST, Análisis financiero, PowerBI, Django. Idiomas: Inglés básico, Español nativo, Inglés avanzado.",5.98
"Puesto: Gerente de Proyectos. Ubicación: Medellín. Experiencia requerida: 3-5 años. Educación: Profesional en Diseño. Skills técnicas requeridas: React, Java, Django. Skills blandas: Creatividad, Pensamiento crítico, Gestión del tiempo, Comunicación efectiva. Idiomas: Portugués.","Experiencia: 0-1 años. Educación: Profesional en Diseño. Skills: Excel avanzado, Pensamiento crítico, Content creation, C++, Trabajo en equipo, Comunicación efectiva, Gestión del tiempo. Idiomas: Inglés nativo.",4.75
"Puesto: Product Manager. Ubicación: Híbrido. Experiencia requerida: 1-3 años. Educación: Doctorado. Skills técnicas requeridas: TensorFlow, JavaScript, SQL, Keras, Deep Learning, Azure, APIs REST. Skills blandas: Creatividad, Pensamiento crítico. Idiomas: Inglés intermedio.","Experiencia: 1-3 años. Educación: Profesional en Ingeniería. Skills: APIs REST, Azure, Pensamiento crítico, JavaScript, Deep Learning, TensorFlow, Comunicación efectiva, Kubernetes, Python, Creatividad, AWS. Idiomas: Francés, Inglés avanzado.",6.69
"Puesto: Ingeniero de Machine Learning. Ubicación: Barranquilla. Experiencia requerida: 0-1 años. Educación: Profesional en Diseño. Skills técnicas requeridas: C++, APIs REST, MongoDB. Skills blandas: Gestión del tiempo, Creatividad, Adaptabilidad. Idiomas: Inglés avanzado.","Experiencia: 5-8 años. Educación: Profesional en Diseño. Skills: SAP, Deep Learning, TensorFlow, Keras, Video editing, Adaptabilidad, Liderazgo, JavaScript. Idiomas: Portugués, Inglés básico, Inglés avanzado.",5.5
"Puesto: Desarrollador Frontend. Ubicación: Cali. Experiencia requerida: 5-8 años. Educación: Profesional en Diseño. Skills técnicas requeridas: Django, Deep Learning, Git, Node.js. Skills blandas: Resolución de problemas, Creatividad, Adaptabilidad, Pensamiento crítico. Idiomas: Francés.","Experiencia: 1-3 años. Educación: Técnico. Skills: Git, Negociación, UX/UI, Content creation, Adobe Photoshop, Gestión de proyectos. Idiomas: Francés, Inglés nativo, Español nativo.",2.36
"Puesto: Analista de Datos. Ubicación: Medellín. Experiencia requerida: 5-8 años. Educación: Doctorado. Skills técnicas requeridas: SQL, Docker, JavaScript, Django, Kubernetes, Git. Skills blandas: Resolución de problemas, Trabajo en equipo, Pensamiento crítico, Creatividad. Idiomas: Inglés avanzado.","Experiencia: 0-1 años. Educación: Tecnólogo. Skills: Docker, SEO, Diseño gráfico, Análisis financiero, Figma, Agile, PowerBI. Idiomas: Inglés intermedio.",3.15
"Puesto: Ingeniero de Machine Learning. Ubicación: Cali. Experiencia requerida: 8+ años. Educación: Doctorado. Skills técnicas requeridas: Azure, Python, JavaScript, PostgreSQL, Machine Learning, C++. Skills blandas: Gestión del tiempo, Comunicación efectiva, Adaptabilidad. Idiomas: Inglés intermedio.","Experiencia: 5-8 años. Educación: Técnico. Skills: PostgreSQL, Machine Learning, Azure, Gestión del tiempo, Kubernetes, Tableau, Liderazgo, PowerBI. Idiomas: Francés.",6.49
"Puesto: Desarrollador Full Stack. Ubicación: Medellín. Experiencia requerida: 0-1 años. Educación: Doctorado. Skills técnicas requeridas: Django, SQL, Deep Learning, Docker, Python, MongoDB, React. Skills blandas: Comunicación efectiva, Adaptabilidad, Pensamiento crítico, Gestión del tiempo. Idiomas: Inglés intermedio.","Experiencia: 3-5 años. Educación: Bachiller. Skills: Adaptabilidad, Gestión del tiempo, Pensamiento crítico, Django, Docker, React, Tableau, Git, Kubernetes. Idiomas: Francés, Español nativo.",6.22
